Type; A; B; C; D; nu; 3; 4; 5; 6; 7A; 7B; 8A; 8B; 9; 10; 11; 12
82; 3; 4; 7; 1; q; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
83; 0; 5; 10; 0; q; 2592; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
84; 1; 5; 9; 0; q; 0; 0; 0; 432; 0; 0; 0; 0; 0; 0; 0; 0
85; 0; 7; 8; 0; q; 6480; 0; 0; 0; 324; 0; 0; 0; 0; 0; 0; 0
86; 2; 5; 8; 0; l; 0; 0; 648; 0; 0; 0; 0; 0; 0; 0; 0; 0
87; 3; 5; 7; 0; q; 0; 1296; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
88; 0; 9; 6; 0; q; 4266; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
89; 0; 9; 6; 0; l; 36; 0; 0; 0; 108; 0; 0; 0; 0; 0; 0; 0
90; 2; 7; 6; 0; q; 864; 0; 648; 0; 0; 0; 0; 0; 0; 0; 0; 0
91; 4; 5; 6; 0; l; 216; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
92; 2; 9; 4; 0; l; 324; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
93; 4; 7; 4; 0; q; 324; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
94; 0; 15; 0; 0; q; 144; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
95; 6; 9; 0; 0; l; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
