Type; A; B; C; D; E; nu; 3; 4; 5; 6; 7A; 7B; 8A; 8B; 9; 10; 11; 12
48; 0; 1; 2; 6; 6; q; 1156680; 0; 2012040; 0; 4753080; 7231680; 0; 0; 3625560; 0; 1341360; 0
49; 1; 1; 1; 6; 6; q; 0; 874800; 0; 349920; 0; 0; 0; 641520; 0; 0; 0; 0
50; 0; 3; 0; 6; 6; q; 97200; 0; 174960; 0; 184680; 58320; 0; 0; 272160; 0; 29160; 0
51; 0; 3; 0; 6; 6; l; 8100; 0; 0; 0; 24300; 14580; 0; 0; 0; 0; 4860; 0
52; 2; 1; 0; 6; 6; q; 64800; 0; 87480; 0; 0; 29160; 0; 0; 0; 0; 0; 0
53; 0; 0; 4; 5; 6; q; 0; 1691280; 0; 3965760; 0; 0; 1574640; 4490640; 0; 1283040; 0; 369360
54; 1; 0; 3; 5; 6; q; 729000; 0; 2012040; 0; 0; 1953720; 0; 0; 437400; 0; 0; 0
55; 1; 0; 3; 5; 6; l; 0; 0; 349920; 0; 0; 0; 0; 0; 77760; 0; 0; 0
56; 0; 2; 2; 5; 6; q; 0; 2566080; 0; 5890320; 0; 0; 2099520; 4782240; 0; 758160; 0; 0
57; 2; 0; 2; 5; 6; q; 0; 291600; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0
58; 1; 2; 1; 5; 6; q; 272160; 0; 563760; 0; 0; 233280; 0; 0; 58320; 0; 0; 0
59; 3; 0; 1; 5; 6; l; 6480; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
60; 0; 1; 4; 4; 6; q; 972000; 0; 3265920; 0; 2624400; 6619320; 0; 0; 2935440; 0; 437400; 0
61; 0; 1; 4; 4; 6; l; 87480; 0; 583200; 0; 145800; 437400; 0; 0; 466560; 0; 29160; 0
62; 1; 1; 3; 4; 6; q; 0; 3849120; 0; 1769040; 0; 0; 0; 2216160; 0; 0; 0; 0
63; 0; 3; 2; 4; 6; q; 1182600; 0; 1837080; 0; 1078920; 2653560; 0; 0; 806760; 0; 58320; 0
64; 2; 1; 2; 4; 6; q; 204120; 0; 495720; 0; 0; 174960; 0; 0; 0; 0; 0; 0
65; 2; 1; 2; 4; 6; l; 29160; 0; 0; 0; 0; 29160; 0; 0; 0; 0; 0; 0
66; 0; 5; 0; 4; 6; q; 58320; 0; 0; 0; 87480; 29160; 0; 0; 58320; 0; 0; 0
67; 2; 3; 0; 4; 6; q; 21060; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
68; 0; 2; 4; 3; 6; q; 0; 2449440; 0; 2896560; 0; 0; 466560; 2216160; 0; 174960; 0; 0
69; 1; 2; 3; 3; 6; q; 291600; 0; 1253880; 0; 0; 699840; 0; 0; 204120; 0; 0; 0
70; 1; 2; 3; 3; 6; l; 64800; 0; 0; 0; 0; 116640; 0; 0; 0; 0; 0; 0
71; 0; 4; 2; 3; 6; q; 0; 583200; 0; 544320; 0; 0; 0; 233280; 0; 0; 0; 0
72; 2; 2; 2; 3; 6; q; 0; 758160; 0; 0; 0; 0; 0; 174960; 0; 0; 0; 0
73; 3; 2; 1; 3; 6; q; 29160; 0; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0
74; 0; 3; 4; 2; 6; q; 97200; 0; 116640; 0; 145800; 320760; 0; 0; 38880; 0; 0; 0
75; 0; 3; 4; 2; 6; l; 0; 0; 29160; 0; 0; 0; 0; 0; 9720; 0; 0; 0
76; 1; 3; 3; 2; 6; q; 0; 58320; 0; 116640; 0; 0; 0; 58320; 0; 0; 0; 0
77; 0; 5; 2; 2; 6; q; 204120; 0; 233280; 0; 29160; 116640; 0; 0; 0; 0; 0; 0
78; 2; 3; 2; 2; 6; q; 29160; 0; 58320; 0; 0; 29160; 0; 0; 0; 0; 0; 0
79; 2; 3; 2; 2; 6; l; 0; 0; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0
80; 3; 3; 1; 2; 6; q; 0; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
81; 4; 3; 0; 2; 6; l; 1620; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
82; 0; 6; 2; 1; 6; q; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
83; 0; 5; 4; 0; 6; q; 4860; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
84; 0; 7; 2; 0; 6; q; 19440; 0; 14580; 0; 0; 0; 0; 0; 0; 0; 0; 0
85; 0; 9; 0; 0; 6; q; 810; 0; 0; 0; 2430; 0; 0; 0; 0; 0; 0; 0
86; 0; 0; 1; 9; 5; q; 9720; 0; 116640; 0; 524880; 379080; 0; 0; 388800; 0; 58320; 0
87; 1; 0; 0; 9; 5; q; 0; 58320; 0; 194400; 0; 0; 0; 58320; 0; 0; 0; 0
88; 0; 1; 1; 8; 5; q; 0; 583200; 0; 2682720; 0; 0; 1574640; 1866240; 0; 583200; 0; 174960
89; 1; 1; 0; 8; 5; q; 116640; 0; 233280; 0; 0; 116640; 0; 0; 0; 0; 0; 0
90; 0; 0; 3; 7; 5; q; 1010880; 0; 3557520; 0; 3440880; 7290000; 0; 0; 6006960; 0; 1749600; 0
91; 1; 0; 2; 7; 5; q; 0; 2157840; 0; 2799360; 0; 0; 0; 1807920; 0; 0; 0; 0
92; 0; 2; 1; 7; 5; q; 408240; 0; 1982880; 0; 1399680; 2741040; 0; 0; 1545480; 0; 204120; 0
93; 0; 2; 1; 7; 5; l; 29160; 0; 233280; 0; 116640; 87480; 0; 0; 233280; 0; 0; 0
94; 0; 1; 3; 6; 5; q; 0; 6415200; 0; 13996800; 0; 0; 6765120; 14463360; 0; 3265920; 0; 349920
95; 1; 1; 2; 6; 5; q; 2274480; 0; 4257360; 0; 0; 3265920; 0; 0; 816480; 0; 0; 0
96; 0; 3; 1; 6; 5; q; 0; 933120; 0; 2157840; 0; 0; 816480; 758160; 0; 116640; 0; 0
97; 2; 1; 1; 6; 5; q; 0; 699840; 0; 0; 0; 0; 0; 233280; 0; 0; 0; 0
98; 0; 0; 5; 5; 5; q; 1166400; 0; 4694760; 0; 4257360; 9185400; 0; 0; 6356880; 0; 1399680; 0
99; 0; 0; 5; 5; 5; l; 87480; 0; 355752; 0; 204120; 554040; 0; 0; 437400; 0; 87480; 0
100; 1; 0; 4; 5; 5; q; 0; 5423760; 0; 2566080; 0; 0; 0; 3324240; 0; 0; 0; 0
101; 0; 2; 3; 5; 5; q; 2624400; 0; 6298560; 0; 3265920; 7989840; 0; 0; 2449440; 0; 116640; 0
102; 2; 0; 3; 5; 5; q; 87480; 0; 145800; 0; 0; 0; 0; 0; 0; 0; 0; 0
103; 1; 2; 2; 5; 5; q; 0; 1399680; 0; 816480; 0; 0; 0; 349920; 0; 0; 0; 0
104; 0; 4; 1; 5; 5; q; 291600; 0; 408240; 0; 320760; 612360; 0; 0; 0; 0; 0; 0
105; 2; 2; 1; 5; 5; q; 174960; 0; 233280; 0; 0; 58320; 0; 0; 0; 0; 0; 0
106; 0; 1; 5; 4; 5; q; 0; 7290000; 0; 9477000; 0; 0; 2974320; 8164800; 0; 1516320; 0; 58320
107; 1; 1; 4; 4; 5; q; 1807920; 0; 3965760; 0; 0; 2507760; 0; 0; 524880; 0; 0; 0
108; 1; 1; 4; 4; 5; l; 116640; 0; 0; 0; 0; 233280; 0; 0; 0; 0; 0; 0
109; 0; 3; 3; 4; 5; q; 0; 2916000; 0; 2274480; 0; 0; 116640; 1108080; 0; 0; 0; 0
110; 2; 1; 3; 4; 5; q; 0; 1137240; 0; 58320; 0; 0; 0; 233280; 0; 0; 0; 0
111; 1; 3; 2; 4; 5; q; 262440; 0; 320760; 0; 0; 58320; 0; 0; 0; 0; 0; 0
112; 0; 5; 1; 4; 5; q; 0; 58320; 0; 174960; 0; 0; 0; 0; 0; 0; 0; 0
113; 0; 2; 5; 3; 5; q; 1399680; 0; 3819960; 0; 1020600; 3674160; 0; 0; 758160; 0; 58320; 0
114; 0; 2; 5; 3; 5; l; 116640; 0; 0; 0; 116640; 349920; 0; 0; 0; 0; 0; 0
115; 1; 2; 4; 3; 5; q; 0; 2332800; 0; 933120; 0; 0; 0; 699840; 0; 0; 0; 0
116; 0; 4; 3; 3; 5; q; 524880; 0; 816480; 0; 58320; 349920; 0; 0; 0; 0; 0; 0
117; 2; 2; 3; 3; 5; q; 233280; 0; 291600; 0; 0; 58320; 0; 0; 0; 0; 0; 0
118; 0; 3; 5; 2; 5; q; 0; 758160; 0; 583200; 0; 0; 0; 174960; 0; 0; 0; 0
119; 1; 3; 4; 2; 5; q; 58320; 0; 116640; 0; 0; 58320; 0; 0; 0; 0; 0; 0
120; 1; 3; 4; 2; 5; l; 0; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
121; 0; 5; 3; 2; 5; q; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
122; 2; 3; 3; 2; 5; q; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
123; 0; 4; 5; 1; 5; q; 58320; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
124; 0; 0; 2; 9; 4; q; 0; 1224720; 0; 2332800; 0; 0; 1574640; 3615840; 0; 1166400; 0; 349920
125; 1; 0; 1; 9; 4; q; 291600; 0; 495720; 0; 0; 670680; 0; 0; 233280; 0; 0; 0
126; 1; 0; 1; 9; 4; l; 0; 0; 174960; 0; 0; 0; 0; 0; 58320; 0; 0; 0
127; 0; 1; 2; 8; 4; q; 1472580; 0; 3645000; 0; 4432320; 9127080; 0; 0; 4403160; 0; 1210140; 0
128; 0; 1; 2; 8; 4; l; 102060; 0; 466560; 0; 306180; 714420; 0; 0; 466560; 0; 43740; 0
129; 1; 1; 1; 8; 4; q; 0; 1224720; 0; 1166400; 0; 0; 0; 524880; 0; 0; 0; 0
130; 2; 1; 0; 8; 4; q; 0; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
131; 2; 1; 0; 8; 4; l; 14580; 0; 0; 0; 0; 14580; 0; 0; 0; 0; 0; 0
132; 0; 0; 4; 7; 4; q; 0; 5598720; 0; 11586240; 0; 0; 5598720; 14288400; 0; 4607280; 0; 933120
133; 1; 0; 3; 7; 4; q; 2410560; 0; 6356880; 0; 0; 5190480; 0; 0; 1516320; 0; 0; 0
134; 0; 2; 2; 7; 4; q; 0; 4315680; 0; 6706800; 0; 0; 2449440; 4665600; 0; 291600; 0; 0
135; 2; 0; 2; 7; 4; q; 0; 174960; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0
136; 1; 2; 1; 7; 4; q; 233280; 0; 233280; 0; 0; 116640; 0; 0; 0; 0; 0; 0
137; 1; 2; 1; 7; 4; l; 77760; 0; 0; 0; 0; 58320; 0; 0; 0; 0; 0; 0
138; 0; 1; 4; 6; 4; q; 6371460; 0; 15163200; 0; 10249740; 26448120; 0; 0; 9856080; 0; 1501740; 0
139; 1; 1; 3; 6; 4; q; 0; 7290000; 0; 4121280; 0; 0; 0; 3324240; 0; 0; 0; 0
140; 0; 3; 2; 6; 4; q; 1258740; 0; 2595240; 0; 1822500; 2813940; 0; 0; 787320; 0; 14580; 0
141; 0; 3; 2; 6; 4; l; 174960; 0; 0; 0; 102060; 466560; 0; 0; 0; 0; 14580; 0
142; 2; 1; 2; 6; 4; q; 690120; 0; 1078920; 0; 0; 466560; 0; 0; 0; 0; 0; 0
143; 1; 3; 1; 6; 4; q; 0; 174960; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0
144; 2; 3; 0; 6; 4; q; 43740; 0; 0; 0; 0; 14580; 0; 0; 0; 0; 0; 0
145; 0; 0; 6; 5; 4; q; 0; 4782240; 0; 7678800; 0; 0; 3557520; 9506160; 0; 2041200; 0; 349920
146; 1; 0; 5; 5; 4; q; 1458000; 0; 3440880; 0; 0; 2157840; 0; 0; 524880; 0; 0; 0
147; 1; 0; 5; 5; 4; l; 145800; 0; 0; 0; 0; 262440; 0; 0; 0; 0; 0; 0
148; 0; 2; 4; 5; 4; q; 0; 11838960; 0; 14171760; 0; 0; 2099520; 7523280; 0; 583200; 0; 0
149; 1; 2; 3; 5; 4; q; 2157840; 0; 4082400; 0; 0; 2041200; 0; 0; 233280; 0; 0; 0
150; 0; 4; 2; 5; 4; q; 0; 1574640; 0; 583200; 0; 0; 0; 291600; 0; 0; 0; 0
151; 2; 2; 2; 5; 4; q; 0; 816480; 0; 0; 0; 0; 0; 174960; 0; 0; 0; 0
152; 3; 2; 1; 5; 4; q; 58320; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
153; 0; 1; 6; 4; 4; q; 2945160; 0; 7771140; 0; 4228200; 10585080; 0; 0; 3207600; 0; 204120; 0
154; 0; 1; 6; 4; 4; l; 194400; 0; 116640; 0; 204120; 699840; 0; 0; 58320; 0; 29160; 0
155; 1; 1; 5; 4; 4; q; 0; 6356880; 0; 2361960; 0; 0; 0; 1866240; 0; 0; 0; 0
156; 0; 3; 4; 4; 4; q; 2930580; 0; 4432320; 0; 1851660; 4126140; 0; 0; 437400; 0; 14580; 0
157; 2; 1; 4; 4; 4; q; 335340; 0; 408240; 0; 0; 145800; 0; 0; 0; 0; 0; 0
158; 2; 1; 4; 4; 4; l; 0; 0; 43740; 0; 0; 0; 0; 0; 0; 0; 0; 0
159; 1; 3; 3; 4; 4; q; 0; 1399680; 0; 583200; 0; 0; 0; 233280; 0; 0; 0; 0
160; 0; 5; 2; 4; 4; q; 364500; 0; 349920; 0; 160380; 174960; 0; 0; 0; 0; 0; 0
161; 0; 5; 2; 4; 4; l; 7290; 0; 0; 0; 21870; 0; 0; 0; 0; 0; 0; 0
162; 2; 3; 2; 4; 4; q; 233280; 0; 160380; 0; 0; 58320; 0; 0; 0; 0; 0; 0
163; 2; 5; 0; 4; 4; l; 2430; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
164; 0; 2; 6; 3; 4; q; 0; 3849120; 0; 2332800; 0; 0; 349920; 1341360; 0; 58320; 0; 0
165; 1; 2; 5; 3; 4; q; 1108080; 0; 1749600; 0; 0; 729000; 0; 0; 87480; 0; 0; 0
166; 1; 2; 5; 3; 4; l; 0; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
167; 0; 4; 4; 3; 4; q; 0; 1924560; 0; 466560; 0; 0; 0; 174960; 0; 0; 0; 0
168; 2; 2; 4; 3; 4; q; 0; 524880; 0; 0; 0; 0; 0; 58320; 0; 0; 0; 0
169; 1; 4; 3; 3; 4; q; 19440; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
170; 0; 6; 2; 3; 4; q; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
171; 0; 3; 6; 2; 4; q; 272160; 0; 466560; 0; 87480; 174960; 0; 0; 0; 0; 0; 0
172; 0; 3; 6; 2; 4; l; 0; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
173; 1; 3; 5; 2; 4; q; 0; 379080; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0
174; 0; 5; 4; 2; 4; q; 306180; 0; 145800; 0; 160380; 131220; 0; 0; 0; 0; 0; 0
175; 2; 3; 4; 2; 4; q; 0; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
176; 2; 3; 4; 2; 4; l; 14580; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
177; 3; 3; 3; 2; 4; q; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
178; 0; 7; 2; 2; 4; q; 58320; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
179; 2; 5; 2; 2; 4; q; 29160; 0; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0
180; 4; 5; 0; 2; 4; q; 2430; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
181; 0; 7; 4; 0; 4; q; 7290; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
182; 0; 9; 2; 0; 4; q; 7290; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
183; 0; 0; 3; 9; 3; q; 907200; 0; 3032640; 0; 1720440; 5452920; 0; 0; 3936600; 0; 1720440; 0
184; 0; 0; 3; 9; 3; l; 113400; 0; 0; 0; 194400; 612360; 0; 0; 0; 0; 194400; 0
185; 1; 0; 2; 9; 3; q; 0; 2216160; 0; 1185840; 0; 0; 0; 1982880; 0; 0; 0; 0
186; 0; 1; 3; 8; 3; q; 0; 6881760; 0; 11547360; 0; 0; 4782240; 12013920; 0; 1924560; 0; 174960
187; 1; 1; 2; 8; 3; q; 933120; 0; 2332800; 0; 0; 1516320; 0; 0; 233280; 0; 0; 0
188; 1; 1; 2; 8; 3; l; 116640; 0; 0; 0; 0; 233280; 0; 0; 0; 0; 0; 0
189; 2; 1; 1; 8; 3; q; 0; 524880; 0; 0; 0; 0; 0; 174960; 0; 0; 0; 0
190; 0; 0; 5; 7; 3; q; 2021760; 0; 7115040; 0; 4315680; 14929920; 0; 0; 7153920; 0; 1982880; 0
191; 1; 0; 4; 7; 3; q; 0; 4782240; 0; 3304800; 0; 0; 0; 2799360; 0; 0; 0; 0
192; 0; 2; 3; 7; 3; q; 3674160; 0; 7727400; 0; 4082400; 9593640; 0; 0; 2536920; 0; 145800; 0
193; 0; 2; 3; 7; 3; l; 408240; 0; 174960; 0; 233280; 1108080; 0; 0; 58320; 0; 0; 0
194; 2; 0; 3; 7; 3; q; 116640; 0; 233280; 0; 0; 0; 0; 0; 0; 0; 0; 0
195; 1; 2; 2; 7; 3; q; 0; 2157840; 0; 758160; 0; 0; 0; 641520; 0; 0; 0; 0
196; 2; 2; 1; 7; 3; q; 58320; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
197; 0; 1; 5; 6; 3; q; 0; 13471920; 0; 20256480; 0; 0; 6590160; 15396480; 0; 1458000; 0; 174960
198; 1; 1; 4; 6; 3; q; 3946320; 0; 8019000; 0; 0; 5015520; 0; 0; 699840; 0; 0; 0
199; 0; 3; 3; 6; 3; q; 0; 4918320; 0; 4335120; 0; 0; 174960; 1749600; 0; 58320; 0; 0
200; 2; 1; 3; 6; 3; q; 0; 1166400; 0; 0; 0; 0; 0; 233280; 0; 0; 0; 0
201; 1; 3; 2; 6; 3; q; 437400; 0; 524880; 0; 0; 116640; 0; 0; 0; 0; 0; 0
202; 1; 3; 2; 6; 3; l; 0; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
203; 0; 0; 7; 5; 3; q; 1205280; 0; 3586680; 0; 2507760; 6006960; 0; 0; 2225880; 0; 174960; 0
204; 0; 0; 7; 5; 3; l; 58320; 0; 174960; 0; 116640; 291600; 0; 0; 136080; 0; 0; 0
205; 1; 0; 6; 5; 3; q; 0; 1399680; 0; 1283040; 0; 0; 0; 583200; 0; 0; 0; 0
206; 0; 2; 5; 5; 3; q; 5365440; 0; 10847520; 0; 3849120; 9622800; 0; 0; 1458000; 0; 0; 0
207; 1; 2; 4; 5; 3; q; 0; 5307120; 0; 1632960; 0; 0; 0; 1224720; 0; 0; 0; 0
208; 0; 4; 3; 5; 3; q; 1078920; 0; 1778760; 0; 116640; 524880; 0; 0; 0; 0; 0; 0
209; 0; 4; 3; 5; 3; l; 0; 0; 349920; 0; 0; 0; 0; 0; 0; 0; 0; 0
210; 2; 2; 3; 5; 3; q; 408240; 0; 816480; 0; 0; 174960; 0; 0; 0; 0; 0; 0
211; 1; 4; 2; 5; 3; q; 0; 291600; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
212; 3; 2; 2; 5; 3; q; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
213; 0; 1; 7; 4; 3; q; 0; 6123600; 0; 6862320; 0; 0; 1807920; 3615840; 0; 116640; 0; 0
214; 1; 1; 6; 4; 3; q; 1253880; 0; 2216160; 0; 0; 933120; 0; 0; 116640; 0; 0; 0
215; 1; 1; 6; 4; 3; l; 0; 0; 291600; 0; 0; 0; 0; 0; 0; 0; 0; 0
216; 0; 3; 5; 4; 3; q; 0; 5715360; 0; 3265920; 0; 0; 174960; 1108080; 0; 0; 0; 0
217; 2; 1; 5; 4; 3; q; 0; 758160; 0; 0; 0; 0; 0; 58320; 0; 0; 0; 0
218; 1; 3; 4; 4; 3; q; 884520; 0; 1399680; 0; 0; 349920; 0; 0; 0; 0; 0; 0
219; 3; 1; 4; 4; 3; l; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
220; 0; 5; 3; 4; 3; q; 0; 1166400; 0; 174960; 0; 0; 0; 0; 0; 0; 0; 0
221; 2; 3; 3; 4; 3; q; 0; 466560; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
222; 1; 5; 2; 4; 3; l; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
223; 3; 3; 2; 4; 3; q; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
224; 0; 2; 7; 3; 3; q; 1973160; 0; 2507760; 0; 1137240; 1574640; 0; 0; 174960; 0; 0; 0
225; 0; 2; 7; 3; 3; l; 29160; 0; 233280; 0; 87480; 0; 0; 0; 0; 0; 0; 0
226; 1; 2; 6; 3; 3; q; 0; 1749600; 0; 116640; 0; 0; 0; 233280; 0; 0; 0; 0
227; 0; 4; 5; 3; 3; q; 835920; 0; 1283040; 0; 116640; 174960; 0; 0; 0; 0; 0; 0
228; 2; 2; 5; 3; 3; q; 145800; 0; 204120; 0; 0; 0; 0; 0; 0; 0; 0; 0
229; 1; 4; 4; 3; 3; q; 0; 699840; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0
230; 0; 6; 3; 3; 3; q; 116640; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
231; 0; 3; 7; 2; 3; q; 0; 524880; 0; 213840; 0; 0; 58320; 0; 0; 0; 0; 0
232; 1; 3; 6; 2; 3; q; 291600; 0; 291600; 0; 0; 58320; 0; 0; 0; 0; 0; 0
233; 1; 3; 6; 2; 3; l; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
